author,score,affiliation
Nicolas Charles,41.36562916218224,"Centre de Recherche sur l'Inflammation, INSERM UMR1149, CNRS ERL8252, Sorbonne Paris Cité, Faculté de Médecine site Bichat, Laboratoire d'Excellence Inflamex, DHU FIRE, Université Paris Diderot, 16 rue Henri Huchard, 75018, Paris, France. nicolas.charles@inserm.fr."
Thomas Papo,40.23371198984285,"Centre de Recherche sur l'Inflammation, INSERM UMR1149, CNRS ERL8252, Sorbonne Paris Cité, Faculté de Médecine site Bichat, Laboratoire d'Excellence Inflamex, DHU FIRE, Université Paris Diderot, 16 rue Henri Huchard, 75018, Paris, France.
Department of Internal Medicine, Hôpital Bichat, Assistance Publique-Hôpitaux de Paris, Faculté de Médecine site Bichat, DHU FIRE, Université Paris Diderot, 46 rue Henri Huchard, 75018, Paris, France."
Yves Renaudineau,39.46865401118844,"INFINITy, Toulouse Institute for Infectious and Inflammatory Diseases, INSERM U1291, CNRS U5051, University Toulouse III, Toulouse, France; Immunology department laboratory, Institut Fédératif de Biologie, Toulouse University Hospital Center, France. Electronic address: renaudineau.y@chu-toulouse.fr."
Eric Hachulla,38.4865825053402,"Service de Médecine Interne et Immunologie Clinique, Centre de Référence des Maladies Autoimmunes Systémiques Rares du Nord et Nord-Ouest de France (CeRAINO), University of Lille, Inserm, CHU Lille, U1286 - INFINITE - Institute for Translational Research in Inflammation, Lille, France."
Jean Sibilia,38.41819050603706,"Department of Rheumatology, National Reference Center for Auto-Immune Diseases (RESO), Hôpitaux Universitaires de Strasbourg, Strasbourg, France."
Xavier Mariette,37.46661715304585,"Université Paris-Saclay, Hôpital Bicêtre, Assistance Publique-Hôpitaux de Paris, INSERM UMR1184, Reference Centre for Rare Systemic Autoimmube Diseases, Le Kremlin Bicêtre, France."
Yanick J Crow,36.30297441478801,"Centre for Genomic and Experimental Medicine, MRC Institute of Genetics and Molecular Medicine, University of Edinburgh, Edinburgh, Royaume-Uni - Laboratory of Neurogenetics and Neuroinflammation, Institute Imagine, Paris, France."
Marie-Elise Truchetet,35.72723469022432,"Department of Rheumatology, Pellegrin, Bordeaux University Hospital, 33076 Bordeaux, France.
Centre national de référence maladie auto-immune et systémique rares Est/Sud-Ouest (RESO), Bordeaux University Hospital, 33076 Bordeaux, France.
UMR-CNRS 5164, ImmunoConcept, University of Bordeaux, 33076 Bordeaux, France."
Anne-Sophie Korganow,35.24828236487696,"CNRS UPR 3572 ""Immunopathology and Therapeutic Chemistry""/Laboratory of Excellence Medalis, Institute of Molecular and Cellular Biology (IBMC), Strasbourg, France; Department of Clinical Immunology and Internal Medicine, National Reference Center for Autoimmune Diseases, Hôpitaux Universitaires de Strasbourg, Strasbourg, France; UFR Médecine, Université de Strasbourg, Strasbourg, France. Electronic address: korganow@unistra.fr."
Denis Wahl,34.64636843520439,"CHRU de Nancy, Vascular Medicine Division and Regional Competence Centre For Rare Vascular and Systemic Autoimmune Diseases, F-54000 Nancy, France; Université de Lorraine, INSERM UMR_S 1116 DCAC, F-54000 Nancy, France."
Julien Haroche,33.91543945965202,"Service de Médecine Interne 2, Institut e3m, Hôpital de la Pitié-Salpêtrière, Centre National de Référence Maladies Systémiques Rares, Lupus, Syndrome des anticorps antiphospholipides, Sorbonne Université, Assistance Publique Hôpitaux de Paris, Paris, France."
Luc Mouthon,33.17407619123403,"Assistance Publique-Hôpitaux de Paris, Hôpital Cochin, Paris, France."
Pierre Duffau,33.062243918425125,"Department of Internal Medicine, Saint André, Bordeaux University Hospital, 33076 Bordeaux, France."
Jacques-Eric Gottenberg,32.614115368528,"CNRS UPR3572, Immunology, Immunopathology and Therapeutic Chemistry, Institute of Molecular and Cellular Biology, Strasbourg, France.
Rheumatology Department, National Reference Center for Autoimmune Diseases, Strasbourg University Hospital, Strasbourg, France."
Stéphane Zuily,30.79314978211641,"CHRU de Nancy, Vascular Medicine Division and Regional Competence Centre For Rare Vascular and Systemic Autoimmune Diseases, F-54000 Nancy, France; Université de Lorraine, INSERM UMR_S 1116 DCAC, F-54000 Nancy, France. Electronic address: s.zuily@chru-nancy.fr."
Brigitte Bader-Meunier,29.6727502296183,"Université Paris Descartes, Sorbonne Paris Cité, Paris, France.
Imagine Institute, Paris, France.
Paediatric Haematology-Immunology and Rheumatology Department, Hôpital Universitaire Necker, Assistance Publique-Hôpitaux de Paris, Paris, France.
INSERM UMR 1163, Laboratory of Immunogenetics of Paediatric Autoimmunity, Paris, France."
François Chasset,28.93241135278069,"Département de médecine interne, Hôpital Tenon, APHP Université Pierre et Marie Curie, Paris, France."
Véronique Le Guern,28.565357240434974,"AP-HP, Centre de référence maladies auto-immunes et systémiques rares de l'île de France, Service de médecine interne Pôle médecine, Hôpital Cochin, 27 rue du Faubourg Saint Jacques, 75679 Paris cedex 14, France."
Nathalie Morel,28.118346458176173,"AP-HP, Centre de référence maladies auto-immunes et systémiques rares de l'île de France, Service de médecine interne Pôle médecine, Hôpital Cochin, 27 rue du Faubourg Saint Jacques, 75679 Paris cedex 14, France."
Eric Daugas,27.80987471696854,"Centre de Recherche sur l'Inflammation, INSERM UMR1149, CNRS ERL8252, Sorbonne Paris Cité, Faculté de Médecine site Bichat, Laboratoire d'Excellence Inflamex, DHU FIRE, Université Paris Diderot, 16 rue Henri Huchard, 75018, Paris, France.
Department of Nephrology, Hôpital Bichat, Assistance Publique-Hôpitaux de Paris, Faculté de Médecine site Bichat, DHU FIRE, Université Paris Diderot, 46 rue Henri Huchard, 75018, Paris, France."
Vanja Sisirak,26.94522146922224,"CNRS-UMR 5164, ImmunoConcEpT, Bordeaux University, Bordeaux, France."
Makoto Miyara,26.73500322790797,"Department of Internal Medicine--French Reference Center for Systemic Lupus Erythematosus and Antiphospholipid Syndrome, Pitie Salpetriere Hospital, Paris, France. makoto.miyara@psl.aphp.fr"
Laurent Chiche,26.44906826323098,"Infectious and Internal Medicine Department, Hôpital Européen Marseille, Marseille, France."
Karim Sacre,25.377792597977162,"Service de Médecine Interne, Hôpital Bichat, Assistance Publique Hôpitaux de Paris, Paris, France.
INSERM U1149, Université de Paris, Paris, France."
Christophe Pellefigues,23.818583329598294,"Centre de Recherche sur l'Inflammation, INSERM UMR1149, CNRS ERL8252, Sorbonne Paris Cité, Faculté de Médecine site Bichat, Laboratoire d'Excellence Inflamex, DHU FIRE, Université Paris Diderot, 16 rue Henri Huchard, 75018, Paris, France."
Jean-Charles Piette,23.30491621822122,"AP-HP, Hôpital Pitié-Salpêtrière, Centre de référence maladies auto-immunes et systémiques rares de l'île de France, Internal Medicine and Clinical Immunology Department, 47-83 Boulevard de l'Hôpital, 75651 Paris Cedex 13, France; Université Paris 6, France."
Z Amoura,22.974900700374782,"Service de médecine interne 2, Centre national de référence lupus systémique et syndrome des anti-phospholipides, groupement hospitalier Pitié-Salpêtrière, AP-HP, 47-83, boulevard de l'hôpital, 75651 Paris, France; Inserm, UMR-S 945, boulevard de l'hôpital, 75013 Paris, France; Université Pierre et Marie Curie, université Paris 06, 75005 Paris, France."
Cécile Contin-Bordes,22.48363626458775,"UMR-CNRS 5164, ImmunoConcept, University of Bordeaux, 33076 Bordeaux, France.
Department of Immunology and Immunogenetics, Bordeaux University Hospital, 33076 Bordeaux, France."
Thierry Schaeverbeke,22.00968725675536,"Department of Rheumatology, Pellegrin, Bordeaux University Hospital, 33076 Bordeaux, France.
Centre national de référence maladie auto-immune et systémique rares Est/Sud-Ouest (RESO), Bordeaux University Hospital, 33076 Bordeaux, France."
Karim Sacré,21.925139616116894,"Centre de Recherche sur l'Inflammation, INSERM UMR1149, CNRS ERL8252, Sorbonne Paris Cité, Faculté de Médecine site Bichat, Laboratoire d'Excellence Inflamex, DHU FIRE, Université Paris Diderot, 16 rue Henri Huchard, 75018, Paris, France.
Department of Internal Medicine, Hôpital Bichat, Assistance Publique-Hôpitaux de Paris, Faculté de Médecine site Bichat, DHU FIRE, Université Paris Diderot, 46 rue Henri Huchard, 75018, Paris, France."
Patrick Legembre,21.718002118058305,"Contrôle de la Réponse Immune B et lymphoproliférations, CRIBL, UMR CNRS 7276, INSERM 1262, Limoges, France."
Marc Scherlinger,21.673691484987966,"Department of Rheumatology, Pellegrin, Bordeaux University Hospital, 33076 Bordeaux, France.
Centre national de référence maladie auto-immune et systémique rares Est/Sud-Ouest (RESO), Bordeaux University Hospital, 33076 Bordeaux, France.
UMR-CNRS 5164, ImmunoConcept, University of Bordeaux, 33076 Bordeaux, France."
Jacques-Olivier Pers,21.557778312275577,"INSERM U1227, UFR Médecine, Brest, France."
Pauline Soulas-Sprauel,21.279404171077097,"CNRS UPR 3572 ""Immunopathology and Therapeutic Chemistry""/Laboratory of Excellence Médalis, Institute of Molecular and Cellular Biology (IBMC), Strasbourg, France. pauline.soulas@ibmc-cnrs.unistra.fr.
Department of Clinical Immunology and Internal Medicine, National Reference Center for Autoimmune Diseases, Hôpitaux Universitaires de Strasbourg, Strasbourg, France. pauline.soulas@ibmc-cnrs.unistra.fr.
UFR Sciences pharmaceutiques, Université de Strasbourg, Illkirch-Graffenstaden, France. pauline.soulas@ibmc-cnrs.unistra.fr."
Virginie Dufrost,21.09437428438301,"CHRU de Nancy, Vascular Medicine Division and Regional Competence Centre For Rare Vascular and Systemic Autoimmune Diseases, F-54000 Nancy, France; Université de Lorraine, INSERM UMR_S 1116 DCAC, F-54000 Nancy, France."
Patrice Cacoub,21.058373184209817,"INSERM 959, Sorbonne Universites, Groupe Hopital Universitaire Pitie Salpetriere, AP-HP, Paris, France."
Marc Pineton de Chambrun,20.52023978587178,"Service de Médecine Interne 2, Institut e3m, Hôpital de la Pitié-Salpêtrière, Centre National de Référence Maladies Systémiques Rares, Lupus, Syndrome des anticorps antiphospholipides, Sorbonne Université, Assistance Publique Hôpitaux de Paris, Paris, France."
David Launay,20.24847394314635,"Dépt de Médecine Interne et Immunologie Clinique, Centre de Référence des Maladies Auto-immunes Systémique Rares du Nord et du Nord-Ouest de France (CeRAINO), Université de Lille, INSERM U995 - LIRIC - Lille Inflammation Research International Center, CHRU de Lille, Lille, France."
Fanny Monneaux,20.00703430976467,"CNRS UPR3572, Immunology, Immunopathology and Therapeutic Chemistry, Institute of Molecular and Cellular Biology, Strasbourg, France."
Nicolas Schall,19.98260698790868,"CNRS and Strasbourg University, Unit Biotechnology and Cell signaling, UMR7242/Strasbourg Drug Discovery and Development Institute (IMS), Strasbourg, France."
Noémie Jourde-Chiche,19.831660533918043,"C2VN, INRA 1260, INSERM 1263, Aix-Marseille Université, 13005 Marseille, France.
Hôpital de la Conception, Centre de Néphrologie et Transplantation Rénale, AP-HM, 13005 Marseille, France."
Vincent Poindron,19.819756495821927,"CNRS UPR 3572 ""Immunopathology and Therapeutic Chemistry""/Laboratory of Excellence Medalis, Institute of Molecular and Cellular Biology (IBMC), Strasbourg, France; Department of Clinical Immunology and Internal Medicine, National Reference Center for Autoimmune Diseases, Hôpitaux Universitaires de Strasbourg, Strasbourg, France."
Nathalie Bardin,19.361348040461834,"Laboratoire d'Immunologie, Hôpital de la Conception, 13005 Marseille, France.
Aix Marseille Université, INSERM, VRCM, 13005 Marseille, France."
Fleur Cohen-Aubart,19.24730936429461,"Department of Internal Medicine 2, La Pitié-Salpêtrière Hospital, e3m Institute, Reference Center for Rare Systemic Diseases, Lupus, Anti-Phospholipids Syndrome, AP-HP. Sorbonne Université, Paris, France."
Marc Lambert,17.966447360064205,"Department of Internal Medicine and Clinical Immunology, Referral Centre for Centre for rare systemic autoimmune diseases North and North-West of France (CeRAINO, ), CHU Lille, Univ. Lille, Inserm, U1286, - INFINITE-Institute for Translational Research in Inflammation, F-59000, Lille, France."
Olivier Fain,17.90198273599412,"Département de Médecine Interne, Hôpital Saint Antoine, APHP, Université Pierre et Marie Curie, Paris, France."
S Muller,17.77442153852315,"Laboratoire d'Immunochimie, Centre National de la Recherche Scientifique, Strasbourg, France."
N Costedoat-Chalumeau,17.75945581295325,"Department of Internal Medicine, AP-HP, Referral Center for Rare Auto-Immune and Systemic Diseases, Cochin Hospital, Paris, France.
Paris Descartes-Sorbonne Paris Cité University, Paris, France.
INSERM U 1153, Center for Epidemiology and Statistics Sorbonne Paris Cité (CRESS), Paris, France."
Corinne Miceli-Richard,17.650969537102156,"Université Paris-Sud, hôpitaux universitaires Paris-Sud, AP-HP, 94275 Le Kremlin-Bicêtre, France; Institut National de la santé et de la recherche médicale (Inserm) U1012, 94275 Le Kremlin-Bicêtre, France. Electronic address: corinne.miceli@bct.aphp.fr."
Aurélien Guffroy,17.614367710596767,"CNRS UPR 3572 ""Immunopathology and Therapeutic Chemistry""/Laboratory of Excellence Medalis, Institute of Molecular and Cellular Biology (IBMC), Strasbourg, France; Department of Clinical Immunology and Internal Medicine, National Reference Center for Autoimmune Diseases, Hôpitaux Universitaires de Strasbourg, Strasbourg, France; UFR Médecine, Université de Strasbourg, Strasbourg, France."
Pierre Quartier,17.386262427306455,"Université Paris Descartes, Sorbonne Paris Cité, Paris, France.
Imagine Institute, Paris, France.
Paediatric Haematology-Immunology and Rheumatology Department, Hôpital Universitaire Necker, Assistance Publique-Hôpitaux de Paris, Paris, France."
Vincent Gies,17.2553673604541,"CNRS UPR 3572 ""Immunopathology and Therapeutic Chemistry""/Laboratory of Excellence Médalis, Institute of Molecular and Cellular Biology (IBMC), Strasbourg, France.
Department of Clinical Immunology and Internal Medicine, National Reference Center for Autoimmune Diseases, Hôpitaux Universitaires de Strasbourg, Strasbourg, France."
Alain Meyer,17.1215473568452,"Service de Physiologie, Unité d'Explorations Fonctionnelles Musculaires, Hôp.Univ. de Strasbourg, France; European Reference Network ReCONNET, and Centre National de Référence des Maladies Systémiques et Auto-immunes Rares Grand-Est Sud-Ouest (RESO), Service de Rhumatologie, Hôpitaux Universitaires de Strasbourg, France."
Hélène Dumortier,17.079806450144332,"CNRS UPR3572, Immunology, Immunopathology and Therapeutic Chemistry, Institute of Molecular and Cellular Biology, Strasbourg, France."
Fleur Cohen Aubart,16.854053484702188,"Service de Médecine Interne 2, Institut e3m, Hôpital de la Pitié-Salpêtrière, Centre National de Référence Maladies Systémiques Rares, Lupus, Syndrome des anticorps antiphospholipides, Sorbonne Université, Assistance Publique Hôpitaux de Paris, Paris, France."
Christophe Deligny,16.81341162042881,"CHU de Fort-de-France, service de médecine interne-rhumatologie, 97261 Fort-de-France, Martinique."
P Sève,16.747179883015487,"Service de médecine interne, Hôtel-Dieu, 1 place de l'Hôpital, 69288 Lyon cedex 02, France. pascal.seve@chu-lyon.fr"
Nicole M Thielens,16.654694125507547,"University of Grenoble Alpes, CEA, CNRS, IBS, Grenoble, France; and."
Hervé Devilliers,16.641826239045486,"Service de Médecine Interne 2, Centre Hospitalier Dijon-Bourgogne, Dijon, France."
E Hachulla,16.513954205525437,"UFR de médecine, université de Lille, 59000 Lille, France; Service de médecine interne et immunologie clinique, hôpital Claude-Huriez, CHRU de Lille, pôle spécialités médicales et gérontologie, rue Michel-Polonovski, 59037 Lille cedex, France; Centre national de référence maladies systémiques et auto-immunes rares (sclérodermie systémique), 59037 Lille cedex, France; FHU Immune-Mediated Inflammatory Diseases and Targeted Therapies (IMMInENT), 59000 Lille, France; LIRIC, UMR 995, EA2686, 59000 Lille, France."
Lubka T Roumenina,16.354924872119078,"UMRS 1138, Centre de Recherche des Cordeliers, INSERM , Paris , France ; UMRS 1138, Centre de Recherche des Cordeliers, Sorbonne Paris Cité, Université Paris Descartes , Paris , France ; UMRS 1138, Centre de Recherche des Cordeliers, Sorbonne Universités, UPMC Université Paris 06 , Paris , France."
Barbara Dema,16.327269206268213,"Centre de Recherche sur l'Inflammation, INSERM UMR1149, CNRS ERL8252, Sorbonne Paris Cité, Faculté de Médecine site Bichat, Laboratoire d'Excellence Inflamex, DHU FIRE, Université Paris Diderot, 16 rue Henri Huchard, 75018, Paris, France."
Camille Francès,16.073791301498858,"Sorbonne Université, Faculté de médecine, AP-HP, Service de Dermatologie et Allergologie, Hôpital Tenon, Paris."
Yasmine Lamri,15.976791454471526,"Centre de Recherche sur l'Inflammation, INSERM UMR1149, CNRS ERL8252, Sorbonne Paris Cité, Faculté de Médecine site Bichat, Laboratoire d'Excellence Inflamex, DHU FIRE, Université Paris Diderot, 16 rue Henri Huchard, 75018, Paris, France."
Nicole Fabien,15.928516919752264,"Department of Immunology , Centre Hospitalier Lyon Sud, Hospices Civils de Lyon , Lyon , France."
Renaud Felten,15.765022319627564,"CNRS UPR3572, Immunology, Immunopathology and Therapeutic Chemistry, Institute of Molecular and Cellular Biology, Strasbourg, France.
Rheumatology Department, National Reference Center for Autoimmune Diseases, Strasbourg University Hospital, Strasbourg, France."
Jean-François Augusto,15.745189105705057,"CRCINA, INSERM, Université de Nantes, Université d'Angers, LabEx IGO, 49000 Angers, France; Service de Néphrologie-Dialyse-Transplantation, CHU Angers, 49000 Angers, France."
Jagadeesh Bayry,15.586210222526448,"Institut National de la Santé et de la Recherche Médicale Unité 1138, Paris, F-75006, France.
Sorbonne Universités, UPMC Univ Paris 06, UMR S 1138, Paris, F-75006, France;
Université Paris Descartes, Sorbonne Paris Cité, UMR S 1138, Paris, F-75006, France;
Centre de Recherche des Cordeliers, Equipe - Immunopathologie et immuno-intervention thérapeutique, Paris, F-75006, France."
Srinivasa Reddy Bonam,15.550214367373044,"Neuroimmunology & peptide therapy, Biotechnology and cell signaling, CNRS-University of Strasbourg, Illkirch 67412, France/Laboratory of excellence Medalis, 67000 Strasbourg, France."
Micheline Pha,15.545430218157044,"Sorbonne Université, Assistance Publique-Hôpitaux de Paris, Groupement Hospitalier Pitié-Salpêtrière, French National Referral Center for Systemic Lupus Erythematosus, Antiphospholipid Antibody Syndrome and Other Autoimmune Disorders, Service de Médecine Interne 2, Paris, France."
David Saadoun,15.5264594668581,"UMR7211 and Inflammation-Immunopathology-Biotherapy Departement (DHU i2B), Sorbonne Universités, UPMC Université de Paris, Paris, France.
Assistance Publique-Hôpitaux de Paris (AP-HP), Groupe Hospitalier Pitié Salpétrière, Department of Internal Medicine and Clinical Immunology, National Reference Center for Autoimmune and Systemic Diseases, Paris, France."
Moncef Zouali,15.117152749562923,"Inserm, U1132, Paris, F-75475, France.
Université Paris 7, Sorbonne Paris-Cité, Paris, F-75475, France."
Jean-François Viallard,15.10253375196988,"Centre national de référence maladie auto-immune et systémique rares Est/Sud-Ouest (RESO), Bordeaux University Hospital, 33076 Bordeaux, France.
Department of Internal Medicine, Haut-Leveque, Bordeaux University Hospital, 33604, Pessac, France."
Julien Seneschal,15.06368891971104,"University Bordeaux, CIRID, UMR/CNRS 5164, F-33000 Bordeaux, France; CNRS, CIRID, UMR 5164, F-33000 Bordeaux, France; CHU de Bordeaux, F-33076 Bordeaux, France."
C Francès,15.052739230122594,"Department of Internal Medicine, Groupe Hospitalier Pitié-Salpêtrière, Paris, France."
Arnaud Hot,14.921415159866397,"Université Lyon I, Lyon, France.
Department of Internal Medicine, Hospices Civils de Lyon, Hôpital Edouard Herriot, Lyon, France."
Jean-Christophe Lega,14.585797029523992,"Department of Internal and Vascular Medicine, Centre Hospialier Lyon Sud, Hospices Civils de Lyon, Lyon, France; National Referee Centre for Rheumatic and AutoImmune and Systemic diseases in childrEn (RAISE), France."
Antoine Dossier,14.565766936185684,"Department of Internal Medicine, Hôpital Bichat, Assistance Publique-Hôpitaux de Paris, Faculté de Médecine site Bichat, DHU FIRE, Université Paris Diderot, 46 rue Henri Huchard, 75018, Paris, France."
D Lipsker,14.513126701890144,"Clinique Dermatologique des Hôpitaux Universitaires de Strasbourg, Strasbourg, France."
Marie-Louise Frémond,14.428858311987641,"Service de Pédiatrie, Université Paris 13, Sorbonne Paris Cité, Hôpital Jean Verdier, Assistance Publique-Hôpitaux de Paris (AP-HP), Bondy Cedex, France; Unité d'Immunologie, Hématologie et Rhumatologie Pédiatriques; marie-louise.fremond@jvr.aphp.fr."
Benjamin Terrier,14.36207079855193,"Department of Internal Medicine, National Referral Center for Rare Autoimmune and Systemic Diseases, Cochin Hospital, AP-HP, Université Paris Descartes, Paris, France."
Divi Cornec,14.282411790864844,"LBAI, UMR1227, Univ Brest, Inserm, Brest, France.
Laboratoire d'Immunologie et d'Immunothérapie, CHU de Brest, Brest, France."
M Lambert,14.07817252407885,"UFR de médecine, université de Lille, 59000 Lille, France; Service de médecine interne et immunologie clinique, hôpital Claude-Huriez, CHRU de Lille, pôle spécialités médicales et gérontologie, rue Michel-Polonovski, 59037 Lille cedex, France; Centre national de référence maladies systémiques et auto-immunes rares (sclérodermie systémique), 59037 Lille cedex, France; FHU Immune-Mediated Inflammatory Diseases and Targeted Therapies (IMMInENT), 59000 Lille, France."
Pierre Vacher,14.005252082529262,"INSERM U1218, 33076 Bordeaux, France."
Isabelle Douchet,13.938038889169539,"UMR-CNRS 5164, ImmunoConcept, University of Bordeaux, 33076 Bordeaux, France."
Thomas Barnetche,13.633154261114298,"Department of Rheumatology, Pellegrin, Bordeaux University Hospital, 33076 Bordeaux, France.
Centre national de référence maladie auto-immune et systémique rares Est/Sud-Ouest (RESO), Bordeaux University Hospital, 33076 Bordeaux, France."
Gilles Blaison,13.609418615214064,"Service de Médecine Interne, Centre Hospitalier Louis Pasteur, Colmar, France."
Pierre Youinou,13.575418416563007,"Université Européenne de Bretagne, France. youinou@univ-brest.fr"
Guy Gorochov,13.571023344875895,"INSERM, U1135, Centre d'Immunologie et des Maladies Infectieuses (CIMI), 75013 Paris, France; Assistance Publique - Hôpitaux de Paris (AP-HP), Département d'Immunologie, Hôpital Pitié-Salpêtrière, 75013 Paris, France; Sorbonne Universités, Université Pierre et Marie Curie Univ Paris 06, CR7, Centre d'Immunologie et des Maladies Infectieuses (CIMI), 75013 Paris, France shimon@ifrec.osaka-u.ac.jp makoto.miyara@psl.aphp.fr guy.gorochov@upmc.fr."
A Mathian,13.504428730523207,"Service de médecine interne, centre de référence national pour les lupus et le syndrome des antiphospholipides, CHU Pitié-Salpêtrière, Assistance Publique-Hôpitaux de Paris, 75651 Paris cedex 13, France. alexis.mathian@free.fr"
Fengjuan Wang,13.446498732005658,"CNRS-University of Strasbourg, Biotechnology and Cell Signalling, Illkirch, France.
Laboratory of Excellence Medalis, Team Neuroimmunology and Peptide Therapy, Institut de Science et d'Ingénierie Supramoléculaire (ISIS), Strasbourg, France."
Lionel Couzi,13.42375873791848,"Nephrology Department, Bordeaux University Hospital, 33076 Bordeaux, France."
Isabelle Melki,13.137115425965815,"General Pediatrics, Infectious Disease and Internal Medicine Department, Hôpital Robert Debré, Assistance Publique-Hôpitaux de Paris, Reference Center for Rheumatic, Autoimmune and Systemic Diseases in Children (RAISE), Paris, France.
Pediatric Hematology-Immunology and Rheumatology Department, Hôpital Necker-Enfants Malades, Assistance Publique-Hôpitaux de Paris, Reference Center for Rheumatic, Autoimmune and Systemic Diseases in Children (RAISE), Paris, France.
Laboratory of Neurogenetics and Neuroinflammation, Imagine Institute, Paris, France."
Dominique Farge,12.920309876061435,"Hôpital Saint-Louis, UF04, unité de médecine interne, maladies auto-immunes et pathologie vasculaire, centre de référence des maladies auto-immunes systémiques rares d'Ile-de-France, Filière 'FAI2R', 1, avenue Claude-Vellefaux, 75475 Paris, France. Electronic address: dominique.farge-bancel@aphp.fr."
B Granel,12.876989306652225,"Service de Médecine Interne, Hôpital d'Adultes de la Timone, Marseille, France."
Yannick Allanore,12.859173964586917,"INSERM U1016 UMR 8104, Université Paris Cité, Hôpital Cochin, Paris, France."
Laurent Sailler,12.842301549631044,"Internal Medicine, University Toulouse III, Toulouse, France. Electronic address: sailler.l@chu-toulouse.fr."
Marc Benhamou,12.818701705626424,"Université Paris Cité, Centre de Recherche sur l'Inflammation, Institut National de la Santé Et de la Recherche Médicale (INSERM) UMR1149, Centre National de la Recherche Scientifique (CNRS). EMR8252, Faculté de Médecine site Bichat, Paris, France.
Université Paris Cité, Laboratoire d'Excellence INFLAMEX, Paris, France."
Pascal Sève,12.684619120150531,"Department of Internal Medicine, Lyon University Hospital, Lyon, France."
Pierre Ronco,12.62003321847796,"Unité Mixte de Recherche S 1155, Sorbonne Université, Université Pierre et Marie Curie Paris 06 and Institut National de la Santé et de la Recherche Médicale, Paris, France; Néphrologie et Dialyse, Centre Hospitalier Le Mans, Le Mans, France. Electronic address: pierreronco@yahoo.fr."
Stephane Zuily,12.480857451631653,"Division of Vascular Medicine, Centre Hospitalier Universitaire de Nancy, Regional Competence Centre For RareVascular and Systemic Autoimmune Diseases, Nancy, France."
Arthur Mageau,12.199326788896228,"Service de Médecine Interne, Hôpital Bichat, Assistance Publique Hôpitaux de Paris, Paris, France.
IAME UMR1137, Equipe DeScID, Université de Paris, Paris, France.
INSERM U1149, Université de Paris, Paris, France."
